time,rev,note,scene,maxSteps,frames,resolution,medianMs,meanMs,p95Ms,minMs,maxMs,fps,goal
2026-07-03T20:42:53Z,6924c55+dirty,"60-frame rebaseline after perf block 7 (rounds 1-10)",bench-mandelbox,120,60,1024,8.09,8.02,8.11,7.85,8.12,123.5,-
2026-07-03T20:42:53Z,6924c55+dirty,"60-frame rebaseline after perf block 7 (rounds 1-10)",bench-mandelbox,120,60,1800,23.78,23.79,24.06,23.23,24.10,42.0,-
2026-07-03T20:42:53Z,6924c55+dirty,"60-frame rebaseline after perf block 7 (rounds 1-10)",bench-mandelbox,120,60,2048,30.37,30.48,31.67,29.77,32.20,32.9,PASS(≥30)
2026-07-03T20:43:43Z,6924c55+dirty,"round 11: stats atomic baked off in bench variants",bench-mandelbox,120,60,1024,7.15,7.02,7.24,6.78,7.27,139.8,-
2026-07-03T20:43:43Z,6924c55+dirty,"round 11: stats atomic baked off in bench variants",bench-mandelbox,120,60,1800,20.90,20.89,21.34,19.93,21.36,47.9,-
2026-07-03T20:43:43Z,6924c55+dirty,"round 11: stats atomic baked off in bench variants",bench-mandelbox,120,60,2048,26.79,26.68,26.95,25.92,27.06,37.3,PASS(≥30)
2026-07-03T20:44:19Z,6924c55+dirty,"round 12: 3-tap forward-diff normals (was 4-tap tetrahedron)",bench-mandelbox,120,60,1024,6.90,6.89,7.19,6.77,7.20,145.0,-
2026-07-03T20:44:19Z,6924c55+dirty,"round 12: 3-tap forward-diff normals (was 4-tap tetrahedron)",bench-mandelbox,120,60,1800,20.27,20.26,20.42,19.90,20.67,49.3,-
2026-07-03T20:44:19Z,6924c55+dirty,"round 12: 3-tap forward-diff normals (was 4-tap tetrahedron)",bench-mandelbox,120,60,2048,26.23,26.65,28.12,25.85,28.37,38.1,PASS(≥30)
2026-07-03T20:44:42Z,6924c55+dirty,"round 12b: normal center = march hitRadius (3 taps total, no re-read)",bench-mandelbox,120,60,1024,6.67,6.78,7.34,6.65,7.56,150.0,-
2026-07-03T20:44:42Z,6924c55+dirty,"round 12b: normal center = march hitRadius (3 taps total, no re-read)",bench-mandelbox,120,60,1800,19.52,19.58,19.69,19.50,20.32,51.2,-
2026-07-03T20:44:42Z,6924c55+dirty,"round 12b: normal center = march hitRadius (3 taps total, no re-read)",bench-mandelbox,120,60,2048,25.02,25.06,25.26,25.00,25.34,40.0,PASS(≥30)
2026-07-03T20:45:27Z,6924c55+dirty,"round 13: AO 3->2 taps",bench-mandelbox,120,60,1024,6.80,6.86,7.93,6.49,8.03,147.1,-
2026-07-03T20:45:27Z,6924c55+dirty,"round 13: AO 3->2 taps",bench-mandelbox,120,60,1800,21.88,21.74,23.55,19.22,23.96,45.7,-
2026-07-03T20:45:27Z,6924c55+dirty,"round 13: AO 3->2 taps",bench-mandelbox,120,60,2048,29.33,28.13,30.73,24.43,31.08,34.1,PASS(≥30)
2026-07-03T20:46:06Z,6924c55+dirty,"round 13 re-run (variance check)",bench-mandelbox,120,60,1024,6.56,6.72,7.43,6.49,8.49,152.4,-
2026-07-03T20:46:06Z,6924c55+dirty,"round 13 re-run (variance check)",bench-mandelbox,120,60,1800,19.41,19.58,20.39,19.06,20.59,51.5,-
2026-07-03T20:46:06Z,6924c55+dirty,"round 13 re-run (variance check)",bench-mandelbox,120,60,2048,24.95,25.05,26.36,24.44,26.79,40.1,PASS(≥30)
2026-07-03T20:46:33Z,6924c55+dirty,"round 14: grading identity fast paths (skip ACES/pow at defaults)",bench-mandelbox,120,60,1024,7.17,6.99,7.43,6.48,7.51,139.5,-
2026-07-03T20:46:33Z,6924c55+dirty,"round 14: grading identity fast paths (skip ACES/pow at defaults)",bench-mandelbox,120,60,1800,20.16,20.48,21.72,19.58,21.87,49.6,-
2026-07-03T20:46:33Z,6924c55+dirty,"round 14: grading identity fast paths (skip ACES/pow at defaults)",bench-mandelbox,120,60,2048,24.94,24.99,25.23,24.43,25.99,40.1,PASS(≥30)
